GEOID;Population;Year
0800101001;1526;2015
0800101002;1818;2015
0800101003;787;2015
0800101004;1767;2015
0800101005;1852;2015
0800101007;2453;2015
0800101008;1868;2015
0800201001;246;2015
0800301001;2669;2015
0800301002;2436;2015
0800301003;2282;2015
0800301004;2273;2015
0800401001;290;2015
0800501001;2491;2015
0800501002;1647;2015
0800501003;2398;2015
0800501004;1034;2015
0800501005;733;2015
0800601001;2320;2015
0800601002;2120;2015
0800601003;1194;2015
0800601004;1110;2015
0800602001;1789;2015
0800602002;1948;2015
0800602003;1835;2015
0800602004;1606;2015
0800602005;1367;2015
0800701001;1518;2015
0800701002;2934;2015
0800702001;2123;2015
0800702002;2161;2015
0800801001;223;2015
0800901001;810;2015
0800901002;1575;2015
0800901003;1169;2015
0800901004;1808;2015
0800901005;1061;2015
0800901006;1859;2015
0800902001;2406;2015
0800902002;1290;2015
0801001001;1488;2015
0801002001;1509;2015
0801002002;945;2015
0801002003;1723;2015
0801101001;2225;2015
0801201001;2248;2015
0801301001;1652;2015
0801401001;2465;2015
0801501001;1396;2015
0801501002;1229;2015
0801501003;908;2015
0801501004;816;2015
0801501005;1385;2015
0801501007;1149;2015
0801501008;606;2015
0801502001;1293;2015
0801502002;1591;2015
0801502003;852;2015
0801502004;1927;2015
0801502005;1225;2015
0801502007;1250;2015
0801502008;2068;2015
0801502009;1239;2015
0801502010;1462;2015
0801502011;1542;2015
0801502012;1043;2015
0801502013;1216;2015
0801502015;1007;2015
0801503001;2217;2015
0801503003;1814;2015
0801503004;1754;2015
0801503005;1429;2015
0801503006;1182;2015
0801503007;1219;2015
0801503008;669;2015
0801503009;1785;2015
0801503010;942;2015
0801503011;1130;2015
0801503013;2849;2015
0801504001;2184;2015
0801504002;1571;2015
0801504003;1335;2015
0801504004;2224;2015
0801504005;1531;2015
0801504006;2535;2015
0801504007;1791;2015
0801504008;1371;2015
0801504009;933;2015
0801504010;1234;2015
0801504011;1426;2015
0801504012;1464;2015
0801504013;1111;2015
0801504014;2545;2015
0801504015;1444;2015
0801504016;1971;2015
0801505001;2247;2015
0801505002;807;2015
0801505003;2543;2015
0801505004;2373;2015
0801505005;2002;2015
0801505006;1183;2015
0801506001;1332;2015
0801506002;1629;2015
0801506003;1074;2015
0801506004;1203;2015
0801506005;1402;2015
0801506006;1008;2015
0801507001;1914;2015
0801507002;2345;2015
0801507003;1515;2015
0801507004;1138;2015
0801507005;834;2015
0801507006;1062;2015
0801507007;1127;2015
0801507008;1531;2015
0801507009;782;2015
0801507010;904;2015
0801507011;1995;2015
0801507012;1267;2015
0801507013;2335;2015
0801507014;1710;2015
0801507015;1146;2015
0801507017;3191;2015
0801507018;1516;2015
0801507020;1041;2015
0801507021;888;2015
0801507022;812;2015
0801507023;2081;2015
0801507024;1834;2015
0801507028;2057;2015
0801507029;2063;2015
0801507030;1994;2015
0801507031;1278;2015
0801508001;2665;2015
0801508002;2530;2015
0801508003;2058;2015
0801508004;723;2015
0801508005;925;2015
0801508006;1603;2015
0801508007;1294;2015
0801508008;1992;2015
0801508009;1276;2015
0801508011;822;2015
0801508012;2520;2015
0801508013;973;2015
0801509001;2108;2015
0801509002;1989;2015
0801509003;1061;2015
0801509004;2132;2015
0801509005;1089;2015
0801509006;1816;2015
0801509008;1557;2015
0801509009;1069;2015
0801509010;1291;2015
0801509011;1013;2015
0801509012;1545;2015
0801509013;763;2015
0801509014;1531;2015
0801509015;1793;2015
0801509016;1672;2015
0801509017;1774;2015
0801509018;1905;2015
0801509019;1249;2015
0801509020;673;2015
0801509021;1588;2015
0801509022;1340;2015
0801509023;740;2015
0801509024;1967;2015
0801509025;1243;2015
0801509026;1180;2015
0801509027;769;2015
0801509028;2162;2015
0801509030;1899;2015
0801509031;983;2015
0801509032;1036;2015
0801509033;1537;2015
0801509034;1746;2015
0801509035;1555;2015
0801509036;1206;2015
0801509037;1577;2015
0801509038;1676;2015
0801509042;1533;2015
0801509043;1709;2015
0801509044;947;2015
0801509045;1551;2015
0801509047;1055;2015
0801509049;1476;2015
0801509050;884;2015
0801509052;858;2015
0801509053;1160;2015
0801509054;1110;2015
0801509057;1257;2015
0801509058;1362;2015
0801509059;1110;2015
0801601001;2188;2015
0801701001;2710;2015
0801701002;1001;2015
0801801001;1575;2015
0801801002;1329;2015
0801801003;420;2015
0801901001;1322;2015
0801901002;1529;2015
0801901003;3340;2015
0801901004;2785;2015
0801901005;2459;2015
0801901006;1558;2015
0801901007;2048;2015
0801901008;3413;2015
0801901009;2173;2015
0801901010;2357;2015
0801901011;3376;2015
0801901012;1883;2015
0801901013;1355;2015
0801901014;1986;2015
0801901015;2300;2015
0801901016;2171;2015
0801901017;2679;2015
0801901018;1564;2015
0801901019;2783;2015
0801901020;2069;2015
0801901021;1992;2015
0801901022;1184;2015
0801901023;1950;2015
0801901025;1281;2015
0801901026;2095;2015
0801901027;1623;2015
0801901028;1936;2015
0801901029;1365;2015
0801901030;2403;2015
0801901031;1647;2015
0801901032;1807;2015
0801901033;1094;2015
0801901034;1031;2015
0801901035;1326;2015
0801901036;1184;2015
0801901037;1466;2015
0801901038;1486;2015
0801901039;1301;2015
0801901040;1100;2015
0801901041;1464;2015
0801901042;1773;2015
0801901043;1288;2015
0801901044;1479;2015
0801901045;2013;2015
0801901046;1706;2015
0801901047;1824;2015
0801901048;2220;2015
0801901049;1451;2015
0801901050;1619;2015
0801901051;1809;2015
0801901052;2409;2015
0801901053;2005;2015
0801901054;1339;2015
0801901055;1295;2015
0801902001;1290;2015
0801902002;2203;2015
0801902003;1279;2015
0801902004;1492;2015
0801902005;2105;2015
0801902006;1612;2015
0801902007;1225;2015
0801902008;1873;2015
0801902009;1751;2015
0801902010;1167;2015
0801902011;1084;2015
0801902012;1560;2015
0801902013;1126;2015
0801902014;1315;2015
0801902015;1559;2015
0801902016;1813;2015
0801902017;1924;2015
0801902018;1833;2015
0801902019;1939;2015
0801902020;1393;2015
0801902021;1435;2015
0801902022;1261;2015
0801902023;1094;2015
0801902024;1129;2015
0801902025;1179;2015
0801902026;2156;2015
0801902027;2008;2015
0801902028;2071;2015
0801902029;1144;2015
0801902030;1219;2015
0801902031;1085;2015
0801902032;1186;2015
0801902033;1182;2015
0801902034;1173;2015
0801902035;1266;2015
0801902036;1228;2015
0801902037;1216;2015
0801902038;1597;2015
0801902039;1722;2015
0801902040;1648;2015
0801902041;1581;2015
0801902042;1661;2015
0801902043;1444;2015
0801902044;1274;2015
0801902045;1181;2015
0801902046;1881;2015
0801902047;1879;2015
0801902048;1223;2015
0801902049;2045;2015
0801902050;1558;2015
0801902051;1901;2015
0801902052;1816;2015
0801902053;1806;2015
0801902054;1848;2015
0801902055;1857;2015
0801902056;1502;2015
0801902057;1242;2015
0801902058;1398;2015
0801902059;1694;2015
0801902060;1674;2015
0801902061;1328;2015
0801902062;1551;2015
0801902063;1184;2015
0801902064;1368;2015
0801902065;1882;2015
0801902066;1836;2015
0801902067;1659;2015
0801902068;1701;2015
0801902069;1378;2015
0801902070;1359;2015
0801902071;1734;2015
0801902072;1198;2015
0801902073;1641;2015
0801902074;1198;2015
0801902075;1229;2015
0801902076;1657;2015
0801902077;1485;2015
0801902078;1382;2015
0801902079;1240;2015
0801902080;1441;2015
0801902081;2098;2015
0801902082;935;2015
0801902083;1705;2015
0801902084;1995;2015
0801902085;1488;2015
0801902086;1418;2015
0801902087;1431;2015
0801902088;1646;2015
0801902089;1936;2015
0801902090;1630;2015
0801902091;1815;2015
0801902092;1734;2015
0801902093;1672;2015
0801902094;1475;2015
0801902095;1515;2015
0801902096;1362;2015
0801902097;1146;2015
0801902098;1520;2015
0801902099;1487;2015
0801902100;1375;2015
0801902101;2142;2015
0801902102;1391;2015
0801902103;1749;2015
0801902104;1097;2015
0801902105;2036;2015
0801902106;1431;2015
0801902107;1644;2015
0801902108;1579;2015
0801902109;1950;2015
0801902110;1869;2015
0801902111;1740;2015
0801902112;1317;2015
0801902113;1993;2015
0801902114;1698;2015
0801902115;1369;2015
0801902116;1048;2015
0801902117;1177;2015
0801902118;1499;2015
0801902119;1299;2015
0801902120;1190;2015
0801902121;1232;2015
0801902122;1064;2015
0801902123;1128;2015
0801902124;1112;2015
0801902125;1692;2015
0801902126;1541;2015
0801902127;1108;2015
0801902128;1277;2015
0801902129;1540;2015
0801902130;1100;2015
0801902131;1211;2015
0801902132;1218;2015
0801902133;870;2015
0801902134;1411;2015
0801902135;2073;2015
0801902136;876;2015
0801902137;1413;2015
0801902138;1907;2015
0801902139;1675;2015
0801902140;1931;2015
0801902141;1278;2015
0801902142;2025;2015
0801902143;1247;2015
0801902144;1482;2015
0801902145;1297;2015
0801902146;1159;2015
0801902147;2210;2015
0801902148;1562;2015
0801902149;1827;2015
0801902150;1497;2015
0801902151;1439;2015
0801902152;1249;2015
0801902153;1339;2015
0801902154;1028;2015
0801902155;1905;2015
0801902156;1276;2015
0801902157;1200;2015
0801902158;1631;2015
0801902159;1824;2015
0801902160;1985;2015
0801902161;1139;2015
0801902162;1364;2015
0801902163;1800;2015
0801902164;1391;2015
0801902165;1621;2015
0801902166;2113;2015
0801902167;2086;2015
0801902168;2228;2015
0801902169;1567;2015
0801902170;1584;2015
0801902171;1607;2015
0801902172;1579;2015
0801902173;1581;2015
0801903001;1654;2015
0801903002;2045;2015
0801903003;1709;2015
0801903004;1548;2015
0801903005;1232;2015
0801903006;1376;2015
0801903007;1728;2015
0801903008;1234;2015
0801903009;1228;2015
0801903010;1822;2015
0801903011;1815;2015
0801903012;2176;2015
0801903013;1905;2015
0801903014;1834;2015
0801903015;3020;2015
0801903016;1243;2015
0801903017;1697;2015
0801903018;1713;2015
0801903019;1453;2015
0801903020;1207;2015
0801903021;1150;2015
0801903022;1441;2015
0801903023;1984;2015
0801903024;1994;2015
0801903025;1125;2015
0801903026;1007;2015
0801903027;1769;2015
0801903028;2280;2015
0801903029;1252;2015
0801903030;1570;2015
0801903031;2455;2015
0801903032;1556;2015
0801903033;1409;2015
0801903034;1552;2015
0801903035;2302;2015
0801903036;2368;2015
0801903037;1108;2015
0801903038;1106;2015
0801903039;2299;2015
0801903040;1524;2015
0801903041;1333;2015
0801903042;1393;2015
0801903043;1659;2015
0801903044;1926;2015
0801903045;1077;2015
0801903046;1454;2015
0801903047;1801;2015
0801903048;1377;2015
0801903049;1679;2015
0801903050;1577;2015
0801903051;1798;2015
0801903052;1257;2015
0801903053;2066;2015
0801903054;1810;2015
0801903055;1552;2015
0801903056;830;2015
0801903057;1517;2015
0801903058;1337;2015
0801903059;1180;2015
0801903060;1330;2015
0801903061;1093;2015
0801903062;1648;2015
0801903063;1226;2015
0801903064;1424;2015
0801903065;1288;2015
0801903066;2309;2015
0801903067;1687;2015
0801903068;1166;2015
0801903069;1173;2015
0801903070;1291;2015
0801903071;1306;2015
0801903072;1397;2015
0801903073;1561;2015
0801903074;1783;2015
0801903075;1625;2015
0801903076;984;2015
0801903077;1336;2015
0801903078;1647;2015
0801903079;1811;2015
0801903080;1522;2015
0801903081;1879;2015
0801903082;1835;2015
0801903083;1407;2015
0801903084;1442;2015
0801903085;1188;2015
0801903086;1257;2015
0801903087;1461;2015
0801903088;1439;2015
0801903089;1204;2015
0801903090;1055;2015
0801903091;1442;2015
0801903092;1290;2015
